ปี พ.ศ.,เดือน,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2567,กุมภาพันธ์,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,48774
2567,กุมภาพันธ์,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,1473
2567,กุมภาพันธ์,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,10829
2567,กุมภาพันธ์,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,5
2567,กุมภาพันธ์,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,228
2567,กุมภาพันธ์,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,21
2567,กุมภาพันธ์,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,9
2567,กุมภาพันธ์,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,33
2567,กุมภาพันธ์,รถยนต์,รย. 12 รถจักรยานยนต์,161216
2567,กุมภาพันธ์,รถยนต์,รย. 13 รถแทร็กเตอร์,5057
2567,กุมภาพันธ์,รถยนต์,รย. 14 รถบดถนน,40
2567,กุมภาพันธ์,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,26
2567,กุมภาพันธ์,รถยนต์,รย. 16 รถพ่วง,68
2567,กุมภาพันธ์,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,104
2567,กุมภาพันธ์,รถขนส่ง,รถโดยสารประจำทาง,70
2567,กุมภาพันธ์,รถขนส่ง,รถโดยสารไม่ประจำทาง,327
2567,กุมภาพันธ์,รถขนส่ง,รถโดยสารส่วนบุคคล,55
2567,กุมภาพันธ์,รถขนส่ง,รถบรรทุกไม่ประจำทาง,2623
2567,กุมภาพันธ์,รถขนส่ง,รถบรรทุกส่วนบุคคล,2591
