year,category,subcatagory,list,value,unit
2562/63,รายได้เงินสดสุทธิ,รายได้เงินสดสุทธิทางการเกษตร,,79486,บาท/ครัวเรือน
2563/64,รายได้เงินสดสุทธิ,รายได้เงินสดสุทธิทางการเกษตร,,78322,บาท/ครัวเรือน
2564/65,รายได้เงินสดสุทธิ,รายได้เงินสดสุทธิทางการเกษตร,,80271,บาท/ครัวเรือน
2565/66,รายได้เงินสดสุทธิ,รายได้เงินสดสุทธิทางการเกษตร,,81616,บาท/ครัวเรือน
2566/67,รายได้เงินสดสุทธิ,รายได้เงินสดสุทธิทางการเกษตร,,83130,บาท/ครัวเรือน
2562/63,รายได้เงินสดสุทธิ,รายได้เงินสดสุทธิครัวเรือน,,285453,บาท/ครัวเรือน
2563/64,รายได้เงินสดสุทธิ,รายได้เงินสดสุทธิครัวเรือน,,288459,บาท/ครัวเรือน
2564/65,รายได้เงินสดสุทธิ,รายได้เงินสดสุทธิครัวเรือน,,294159,บาท/ครัวเรือน
2565/66,รายได้เงินสดสุทธิ,รายได้เงินสดสุทธิครัวเรือน,,302552,บาท/ครัวเรือน
2566/67,รายได้เงินสดสุทธิ,รายได้เงินสดสุทธิครัวเรือน,,308294,บาท/ครัวเรือน
2562/63,รายได้เงินสดสุทธิ,เงินสดคงเหลือก่อนการชำระหนี้,,114442,บาท/ครัวเรือน
2563/64,รายได้เงินสดสุทธิ,เงินสดคงเหลือก่อนการชำระหนี้,,116525,บาท/ครัวเรือน
2564/65,รายได้เงินสดสุทธิ,เงินสดคงเหลือก่อนการชำระหนี้,,113590,บาท/ครัวเรือน
2565/66,รายได้เงินสดสุทธิ,เงินสดคงเหลือก่อนการชำระหนี้,,113048,บาท/ครัวเรือน
2566/67,รายได้เงินสดสุทธิ,เงินสดคงเหลือก่อนการชำระหนี้,,112039,บาท/ครัวเรือน
