year,category,subcatagory,list,value,unit
2562/63,ข้อมูลพื้นฐาน,อายุ,อายุเฉลี่ยของหัวหน้าครัวเรือน,58.23,ปี
2562/63,ข้อมูลพื้นฐาน,ขนาดครัวเรือน,ขนาดครัวเรือน,3.89,คน/ครัวเรือน
2562/63,ข้อมูลพื้นฐาน,แรงงาน,จำนวนแรงงานอายุ 15–64 ปี,2.62,คน/ครัวเรือน
2562/63,ข้อมูลพื้นฐาน,เนื้อที่,เนื้อที่ถือครอง,24.16,ไร่/ครัวเรือน
2563/64,ข้อมูลพื้นฐาน,อายุ,อายุเฉลี่ยของหัวหน้าครัวเรือน,58.53,ปี
2563/64,ข้อมูลพื้นฐาน,ขนาดครัวเรือน,ขนาดครัวเรือน,3.88,คน/ครัวเรือน
2563/64,ข้อมูลพื้นฐาน,แรงงาน,จำนวนแรงงานอายุ 15–64 ปี,2.57,คน/ครัวเรือน
2563/64,ข้อมูลพื้นฐาน,เนื้อที่,เนื้อที่ถือครอง,22.49,ไร่/ครัวเรือน
2564/65,ข้อมูลพื้นฐาน,อายุ,อายุเฉลี่ยของหัวหน้าครัวเรือน,59.44,ปี
2564/65,ข้อมูลพื้นฐาน,ขนาดครัวเรือน,ขนาดครัวเรือน,3.68,คน/ครัวเรือน
2564/65,ข้อมูลพื้นฐาน,แรงงาน,จำนวนแรงงานอายุ 15–64 ปี,2.48,คน/ครัวเรือน
2564/65,ข้อมูลพื้นฐาน,เนื้อที่,เนื้อที่ถือครอง,24.92,ไร่/ครัวเรือน
2565/66,ข้อมูลพื้นฐาน,อายุ,อายุเฉลี่ยของหัวหน้าครัวเรือน,59.14,ปี
2565/66,ข้อมูลพื้นฐาน,ขนาดครัวเรือน,ขนาดครัวเรือน,3.65,คน/ครัวเรือน
2565/66,ข้อมูลพื้นฐาน,แรงงาน,จำนวนแรงงานอายุ 15–64 ปี,2.46,คน/ครัวเรือน
2565/66,ข้อมูลพื้นฐาน,เนื้อที่,เนื้อที่ถือครอง,24.39,ไร่/ครัวเรือน
2566/67,ข้อมูลพื้นฐาน,อายุ,อายุเฉลี่ยของหัวหน้าครัวเรือน,59.89,ปี
2566/67,ข้อมูลพื้นฐาน,ขนาดครัวเรือน,ขนาดครัวเรือน,3.66,คน/ครัวเรือน
2566/67,ข้อมูลพื้นฐาน,แรงงาน,จำนวนแรงงานอายุ 15–64 ปี,2.39,คน/ครัวเรือน
2566/67,ข้อมูลพื้นฐาน,เนื้อที่,เนื้อที่ถือครอง,24.97,ไร่/ครัวเรือน
