year,category,subcatagory,list,value,unit
2562/63,รายได้เงินสด,รายได้เงินสดจากการเกษตร,สาขาพืช,136355,บาท/ครัวเรือน
2562/63,รายได้เงินสด,รายได้เงินสดจากการเกษตร,สาขาสัตว์,43686,บาท/ครัวเรือน
2562/63,รายได้เงินสด,รายได้เงินสดจากการเกษตร,อื่น ๆ,4369,บาท/ครัวเรือน
2562/63,รายได้เงินสด,รายได้เงินสดนอกภาคเกษตร,,205967,บาท/ครัวเรือน
2563/64,รายได้เงินสด,รายได้เงินสดจากการเกษตร,สาขาพืช,150225,บาท/ครัวเรือน
2563/64,รายได้เงินสด,รายได้เงินสดจากการเกษตร,สาขาสัตว์,31639,บาท/ครัวเรือน
2563/64,รายได้เงินสด,รายได้เงินสดจากการเกษตร,อื่น ๆ,5218,บาท/ครัวเรือน
2563/64,รายได้เงินสด,รายได้เงินสดนอกภาคเกษตร,,210137,บาท/ครัวเรือน
2564/65,รายได้เงินสด,รายได้เงินสดจากการเกษตร,สาขาพืช,167009,บาท/ครัวเรือน
2564/65,รายได้เงินสด,รายได้เงินสดจากการเกษตร,สาขาสัตว์,36046,บาท/ครัวเรือน
2564/65,รายได้เงินสด,รายได้เงินสดจากการเกษตร,อื่น ๆ,3255,บาท/ครัวเรือน
2564/65,รายได้เงินสด,รายได้เงินสดนอกภาคเกษตร,,213888,บาท/ครัวเรือน
2565/66,รายได้เงินสด,รายได้เงินสดจากการเกษตร,สาขาพืช,184352,บาท/ครัวเรือน
2565/66,รายได้เงินสด,รายได้เงินสดจากการเกษตร,สาขาสัตว์,40144,บาท/ครัวเรือน
2565/66,รายได้เงินสด,รายได้เงินสดจากการเกษตร,อื่น ๆ,5203,บาท/ครัวเรือน
2565/66,รายได้เงินสด,รายได้เงินสดนอกภาคเกษตร,,220936,บาท/ครัวเรือน
2566/67,รายได้เงินสด,รายได้เงินสดจากการเกษตร,สาขาพืช,182476,บาท/ครัวเรือน
2566/67,รายได้เงินสด,รายได้เงินสดจากการเกษตร,สาขาสัตว์,50175,บาท/ครัวเรือน
2566/67,รายได้เงินสด,รายได้เงินสดจากการเกษตร,อื่น ๆ,3875,บาท/ครัวเรือน
2566/67,รายได้เงินสด,รายได้เงินสดนอกภาคเกษตร,,225164,บาท/ครัวเรือน
