ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งไม่ใช้ตลอดไป,รถแจ้งไม่ใช้ชั่วคราว,รถเปลี่ยนแปลงรายการฯ,รถดำเนินการอื่นๆ,
2566,กรกฎาคม,กระบี่,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,5645,4554,219,6,4,223,8,547,1,0,96,475,
2566,กรกฎาคม,กระบี่,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,202,149,2,5,2,8,0,14,17,0,1,40,
2566,กรกฎาคม,กระบี่,รย. 3 รถยนต์บรรทุกส่วนบุคคล,4166,3447,130,10,0,135,1,387,1,0,109,327,
2566,กรกฎาคม,กระบี่,รย. 9 รถยนต์บริการธุรกิจ,4,4,0,0,0,0,0,0,0,0,0,0,
2566,กรกฎาคม,กระบี่,รย. 10 รถยนต์บริการทัศนาจร,39,34,8,0,6,1,0,1,0,0,1,2,
2566,กรกฎาคม,กระบี่,รย. 12 รถจักรยานยนต์,8085,6706,1184,210,2,506,1,586,66,0,47,605,
2566,กรกฎาคม,กระบี่,รย. 13 รถแทร็กเตอร์,60,52,1,1,0,2,0,0,0,0,0,3,
2566,กรกฎาคม,กระบี่,รย. 14 รถบดถนน,5,4,0,0,0,0,0,0,0,0,0,0,
2566,กรกฎาคม,กระบี่,รย. 16 รถพ่วง,1,0,0,0,0,0,0,0,0,0,0,0,
2566,กรกฎาคม,กระบี่,รย. 17 รถจักรยานยนต์สาธารณะ,14,13,0,0,1,0,0,0,1,0,0,1,
2566,กรกฎาคม,กระบี่,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,6,2,0,0,4,0,0,0,0,0,0,0,
2566,กรกฎาคม,กรุงเทพมหานคร,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,284070,218531,24641,731,172,3750,589,50848,507,97,3576,45846,
2566,กรกฎาคม,กรุงเทพมหานคร,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,13034,9938,824,156,15,127,36,2138,114,15,504,1740,
2566,กรกฎาคม,กรุงเทพมหานคร,รย. 3 รถยนต์บรรทุกส่วนบุคคล,69486,54153,4345,373,30,1386,382,11708,180,24,2451,10180,
2566,กรกฎาคม,กรุงเทพมหานคร,รย. 4 รถยนต์สามล้อส่วนบุคคล,23,23,0,0,0,0,0,0,0,0,0,1,
2566,กรกฎาคม,กรุงเทพมหานคร,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,6890,5976,122,59,0,0,6,694,0,4,627,469,
2566,กรกฎาคม,กรุงเทพมหานคร,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),55,53,0,0,0,0,0,6,0,0,2,3,
2566,กรกฎาคม,กรุงเทพมหานคร,รย. 8 รถยนต์รับจ้างสามล้อ,1084,1022,44,11,0,0,0,63,34,13,89,104,
2566,กรกฎาคม,กรุงเทพมหานคร,รย. 9 รถยนต์บริการธุรกิจ,16,10,0,0,5,0,0,0,0,0,0,1,
2566,กรกฎาคม,กรุงเทพมหานคร,รย. 10 รถยนต์บริการทัศนาจร,160,99,19,0,0,0,47,16,0,0,7,9,
2566,กรกฎาคม,กรุงเทพมหานคร,รย. 11 รถยนต์บริการให้เช่า,3,2,0,0,0,0,0,1,0,0,0,0,
2566,กรกฎาคม,กรุงเทพมหานคร,รย. 12 รถจักรยานยนต์,202056,169049,37275,1781,300,3552,434,24135,6419,21,2219,27462,
2566,กรกฎาคม,กรุงเทพมหานคร,รย. 13 รถแทร็กเตอร์,13079,12302,1185,26,0,190,7,685,69,4,66,855,
2566,กรกฎาคม,กรุงเทพมหานคร,รย. 14 รถบดถนน,131,112,8,1,0,2,2,3,4,0,3,7,
2566,กรกฎาคม,กรุงเทพมหานคร,รย. 16 รถพ่วง,168,149,64,0,0,0,0,10,2,0,6,8,
2566,กรกฎาคม,กรุงเทพมหานคร,รย. 17 รถจักรยานยนต์สาธารณะ,4562,4126,63,2,259,2,0,70,20,0,33,164,
2566,กรกฎาคม,กรุงเทพมหานคร,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,128,45,0,0,76,0,0,1,0,0,6,2,
2566,กรกฎาคม,กาญจนบุรี,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,8647,7354,276,14,1,299,28,562,9,0,160,611,
2566,กรกฎาคม,กาญจนบุรี,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,276,192,1,3,2,5,0,5,2,0,5,12,
2566,กรกฎาคม,กาญจนบุรี,รย. 3 รถยนต์บรรทุกส่วนบุคคล,5992,5117,127,16,0,213,9,424,7,0,161,435,
2566,กรกฎาคม,กาญจนบุรี,รย. 12 รถจักรยานยนต์,14320,12657,1550,183,2,672,4,741,122,0,120,831,
2566,กรกฎาคม,กาญจนบุรี,รย. 13 รถแทร็กเตอร์,247,196,23,3,0,10,1,18,8,0,2,18,
2566,กรกฎาคม,กาญจนบุรี,รย. 14 รถบดถนน,13,6,0,0,0,0,0,0,1,0,0,1,
2566,กรกฎาคม,กาญจนบุรี,รย. 16 รถพ่วง,6,4,0,0,0,0,0,0,0,0,0,0,
2566,กรกฎาคม,กาญจนบุรี,รย. 17 รถจักรยานยนต์สาธารณะ,33,30,0,1,0,0,0,0,4,0,0,2,
2566,กรกฎาคม,กาฬสินธุ์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,5543,4685,161,10,0,291,15,381,4,1,78,542,
2566,กรกฎาคม,กาฬสินธุ์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,213,158,1,1,1,12,2,8,0,2,3,25,
2566,กรกฎาคม,กาฬสินธุ์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,5548,4408,46,17,2,315,42,503,0,0,188,620,
2566,กรกฎาคม,กาฬสินธุ์,รย. 12 รถจักรยานยนต์,8984,7889,1298,134,0,395,2,936,25,0,85,547,
2566,กรกฎาคม,กาฬสินธุ์,รย. 13 รถแทร็กเตอร์,340,231,96,7,0,33,0,58,1,0,7,22,
