ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งไม่ใช้ตลอดไป,รถแจ้งไม่ใช้ชั่วคราว,รถเปลี่ยนแปลงรายการฯ,รถดำเนินการอื่นๆ,
2566,มิถุนายน,กระบี่,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,6564,5403,305,7,2,272,6,567,3,0,97,519,
2566,มิถุนายน,กระบี่,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,250,159,2,3,1,21,0,13,13,0,3,40,
2566,มิถุนายน,กระบี่,รย. 3 รถยนต์บรรทุกส่วนบุคคล,5088,4279,156,15,3,161,1,413,0,0,127,360,
2566,มิถุนายน,กระบี่,รย. 9 รถยนต์บริการธุรกิจ,1,1,0,0,0,0,0,0,0,0,0,0,
2566,มิถุนายน,กระบี่,รย. 10 รถยนต์บริการทัศนาจร,28,24,3,0,3,0,0,1,0,0,0,1,
2566,มิถุนายน,กระบี่,รย. 12 รถจักรยานยนต์,10041,8383,1496,232,2,607,3,694,61,0,80,699,
2566,มิถุนายน,กระบี่,รย. 13 รถแทร็กเตอร์,61,49,2,0,0,1,0,1,0,0,0,3,
2566,มิถุนายน,กระบี่,รย. 14 รถบดถนน,1,0,0,0,0,0,0,0,0,0,0,0,
2566,มิถุนายน,กระบี่,รย. 17 รถจักรยานยนต์สาธารณะ,12,12,0,0,1,0,0,0,0,0,0,0,
2566,มิถุนายน,กระบี่,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,10,2,0,0,7,0,0,0,0,0,0,0,
2566,มิถุนายน,กรุงเทพมหานคร,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,329565,254060,32644,883,190,4696,732,58756,505,135,4483,51700,
2566,มิถุนายน,กรุงเทพมหานคร,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,13888,10392,1085,163,25,138,25,2255,159,14,303,1949,
2566,มิถุนายน,กรุงเทพมหานคร,รย. 3 รถยนต์บรรทุกส่วนบุคคล,78858,60984,4681,640,52,1655,379,13579,288,13,3185,11734,
2566,มิถุนายน,กรุงเทพมหานคร,รย. 4 รถยนต์สามล้อส่วนบุคคล,32,30,0,1,0,0,0,0,0,0,3,1,
2566,มิถุนายน,กรุงเทพมหานคร,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,7341,6510,126,70,0,1,10,719,3,4,330,478,
2566,มิถุนายน,กรุงเทพมหานคร,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),154,153,0,0,0,0,0,7,0,0,2,7,
2566,มิถุนายน,กรุงเทพมหานคร,รย. 8 รถยนต์รับจ้างสามล้อ,1022,953,42,17,0,0,0,85,51,2,66,109,
2566,มิถุนายน,กรุงเทพมหานคร,รย. 9 รถยนต์บริการธุรกิจ,6,6,0,0,0,0,0,0,0,0,0,0,
2566,มิถุนายน,กรุงเทพมหานคร,รย. 10 รถยนต์บริการทัศนาจร,209,142,23,1,1,0,50,14,0,0,13,5,
2566,มิถุนายน,กรุงเทพมหานคร,รย. 11 รถยนต์บริการให้เช่า,2,2,0,0,0,0,0,0,0,0,0,0,
2566,มิถุนายน,กรุงเทพมหานคร,รย. 12 รถจักรยานยนต์,240182,201088,46755,2079,283,4358,400,28341,7489,44,2715,32615,
