ปี พ.ศ.,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2567,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,509091
2567,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,18744
2567,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,116688
2567,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,83
2567,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,3958
2567,รถยนต์,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),1
2567,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,323
2567,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,194
2567,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,596
2567,รถยนต์,รย. 11 รถยนต์บริการให้เช่า,9
2567,รถยนต์,รย. 12 รถจักรยานยนต์,1899811
2567,รถยนต์,รย. 13 รถแทร็กเตอร์,58395
2567,รถยนต์,รย. 14 รถบดถนน,601
2567,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,331
2567,รถยนต์,รย. 16 รถพ่วง,909
2567,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,1103
2567,รถขนส่ง,รถโดยสารประจำทาง,1245
2567,รถขนส่ง,รถโดยสารไม่ประจำทาง,4323
2567,รถขนส่ง,รถโดยสารส่วนบุคคล,504
2567,รถขนส่ง,รถบรรทุกไม่ประจำทาง,28855
2567,รถขนส่ง,รถบรรทุกส่วนบุคคล,30143
