ปี พ.ศ.,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2566,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,653528
2566,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,19283
2566,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,170903
2566,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,83
2566,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2597
2566,รถยนต์,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),3
2566,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,689
2566,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,334
2566,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,729
2566,รถยนต์,รย. 11 รถยนต์บริการให้เช่า,11
2566,รถยนต์,รย. 12 รถจักรยานยนต์,2065016
2566,รถยนต์,รย. 13 รถแทร็กเตอร์,60429
2566,รถยนต์,รย. 14 รถบดถนน,696
2566,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,378
2566,รถยนต์,รย. 16 รถพ่วง,1044
2566,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,1270
2566,รถขนส่ง,รถโดยสารประจำทาง,2284
2566,รถขนส่ง,รถโดยสารไม่ประจำทาง,5381
2566,รถขนส่ง,รถโดยสารส่วนบุคคล,577
2566,รถขนส่ง,รถบรรทุกไม่ประจำทาง,36654
2566,รถขนส่ง,รถบรรทุกส่วนบุคคล,36300
